vintage,NAICS_3digit,Quantity
2007,211,771542
2008,211,1358024
2009,211,1274289
2010,211,760897
2011,211,1325034
2012,211,993895
2013,211,1239307
2014,211,2616404
2015,211,2904109
2016,211,2280299
2017,211,1849212
2018,211,2640967
2019,211,2709545
2020,211,4182027
2021,211,4025792
2022,211,4119764
2023,211,4792453
2008,212,309696
2011,212,5846
2015,212,8572
2018,212,30858
2019,212,23728
2020,212,10815
2022,212,2784
2007,221,70398
2008,221,256
2009,221,389885
2010,221,414765
2011,221,163956
2012,221,414507
2013,221,564887
2014,221,579801
2015,221,549023
2016,221,500545
2017,221,427053
2018,221,886859
2019,221,624467
2020,221,687350
2021,221,892032
2022,221,559173
2023,221,736450
2024,221,855525
2011,311,100000
2019,311,57031
2021,311,6829
2022,311,15885
2023,311,16133
2008,321,99434
2010,321,40576
2020,321,23983
2021,321,36047
2022,321,37240
2023,321,24048
2007,322,519
2008,322,2064
2010,322,8025
2011,322,12118
2012,322,372399
2013,322,409630
2014,322,356482
2015,322,431436
2016,322,387004
2017,322,374491
2018,322,64930
2019,322,10790
2020,322,331441
2021,322,325129
2022,322,226664
2023,322,236171
2007,324,27422
2010,324,17882
2011,324,179709
2012,324,85084
2014,324,21082
2017,324,22027
2018,324,417009
2019,324,45520
2021,324,14586
2022,324,14152
2023,324,67646
2007,325,108761
2009,325,1216
2010,325,66039
2011,325,147825
2012,325,260057
2013,325,85887
2014,325,197313
2015,325,300364
2016,325,411765
2017,325,292515
2018,325,700013
2019,325,772668
2020,325,270134
2021,325,81192
2022,325,220488
2023,325,145523
2012,327,82138
2013,327,90289
2014,327,69203
2015,327,62228
2016,327,108262
2017,327,98120
2018,327,177074
2019,327,260325
2020,327,131683
2021,327,210992
2022,327,267978
2023,327,307232
2020,331,12889
2022,331,20589
2013,486,24277
2014,486,35660
2015,486,35171
2016,486,34773
2017,486,13410
2018,486,3833
2019,486,7024
2020,486,27792
2021,486,34364
2022,486,40497
2023,486,66546
2013,562,71586
2014,562,84855
2015,562,81532
2016,562,32214
2017,562,31702
2018,562,31840
2019,562,36696
2020,562,27185
2021,562,19531
2022,562,17785
2023,562,16796
