,AB,BC,QC,ON,SK,MB,NB,NS,NL,PE,YT,NT,NU
2007,15,0,3.5,0,0,0,0,0,0,0,0,0,0
2008,15,10,3.5,0,0,0,0,0,0,0,0,0,0
2009,15,15,3.5,0,0,0,0,0,0,0,0,0,0
2010,15,20,3.5,0,0,0,0,0,0,0,0,0,0
2011,15,25,3.5,0,0,0,0,0,0,0,0,0,0
2012,15,30,3.5,0,0,0,0,0,0,0,0,0,0
2013,15,30,11,0,0,0,0,0,0,0,0,0,0
2014,15,30,11.5,0,0,0,0,0,0,0,0,0,0
2015,15,30,12.3,0,0,0,0,0,0,0,0,0,0
2016,20,30,12.6,0,0,0,0,0,0,0,0,0,0
2017,30,30,14.6,14,0,0,0,0,0,0,0,0,0
2018,30,35,14.8,15,0,0,0,0,0,0,0,0,0
2019,30,40,16.5,20,20,20,20,20,20,20,20,20,20
2020,30,45,17,30,30,30,30,30,30,30,30,30,30
2021,40,50,20.4,40,40,40,40,40,40,40,40,40,40
2022,50,50,29.9,50,50,50,50,50,50,50,50,50,50
2023,65,65,34.8,65,65,65,65,65,65,65,65,65,65
2024,80,80,42.3,80,80,80,80,80,80,80,80,80,80
2025,95,95,48,95,0,95,95,95,95,95,95,95,95
